Age Group,Vaccination Date,Doses Administered
16-49 years,12/14/20,276
16-49 years,12/15/20,"3,897"
16-49 years,12/16/20,"12,811"
16-49 years,12/17/20,"16,044"
16-49 years,12/18/20,"24,977"
16-49 years,12/19/20,"12,452"
16-49 years,12/20/20,"6,811"
16-49 years,12/21/20,"18,517"
16-49 years,12/22/20,"17,324"
16-49 years,12/23/20,"24,849"
16-49 years,12/24/20,"10,356"
16-49 years,12/25/20,"1,457"
16-49 years,12/26/20,"6,745"
16-49 years,12/27/20,"5,333"
16-49 years,12/28/20,"25,752"
16-49 years,12/29/20,"32,386"
16-49 years,12/30/20,"38,324"
16-49 years,12/31/20,"22,071"
16-49 years,1/1/21,"2,453"
16-49 years,1/2/21,"10,784"
16-49 years,1/3/21,"6,622"
16-49 years,1/4/21,"25,221"
16-49 years,1/5/21,"28,965"
16-49 years,1/6/21,"38,120"
16-49 years,1/7/21,"42,400"
16-49 years,1/8/21,"45,668"
16-49 years,1/9/21,"19,293"
16-49 years,1/10/21,"8,571"
16-49 years,1/11/21,"28,958"
16-49 years,1/12/21,"30,783"
16-49 years,1/13/21,"28,767"
16-49 years,1/14/21,"22,445"
16-49 years,1/15/21,"24,161"
16-49 years,1/16/21,"13,215"
16-49 years,1/17/21,"2,759"
16-49 years,1/18/21,"12,549"
16-49 years,1/19/21,"22,893"
16-49 years,1/20/21,"31,343"
16-49 years,1/21/21,"28,152"
16-49 years,1/22/21,"34,928"
16-49 years,1/23/21,"18,935"
16-49 years,1/24/21,"7,847"
16-49 years,1/25/21,"34,735"
16-49 years,1/26/21,"42,711"
16-49 years,1/27/21,"43,995"
16-49 years,1/28/21,"40,209"
16-49 years,1/29/21,"38,794"
16-49 years,1/30/21,"19,733"
16-49 years,1/31/21,"7,839"
16-49 years,2/1/21,"32,148"
16-49 years,2/2/21,"34,143"
16-49 years,2/3/21,"44,643"
16-49 years,2/4/21,"43,917"
16-49 years,2/5/21,"49,734"
16-49 years,2/6/21,"28,274"
16-49 years,2/7/21,"5,526"
16-49 years,2/8/21,"24,264"
16-49 years,2/9/21,"36,217"
16-49 years,2/10/21,"43,592"
16-49 years,2/11/21,"34,875"
16-49 years,2/12/21,"42,259"
16-49 years,2/13/21,"24,911"
16-49 years,2/14/21,"5,142"
16-49 years,2/15/21,"6,160"
16-49 years,2/16/21,"7,456"
16-49 years,2/17/21,"5,117"
16-49 years,2/18/21,"9,477"
16-49 years,2/19/21,"15,240"
16-49 years,2/20/21,"18,159"
16-49 years,2/21/21,"10,817"
16-49 years,2/22/21,"25,799"
16-49 years,2/23/21,"27,735"
16-49 years,2/24/21,"47,652"
16-49 years,2/25/21,"64,457"
16-49 years,2/26/21,"71,959"
16-49 years,2/27/21,"48,231"
16-49 years,2/28/21,"20,489"
16-49 years,3/1/21,"40,168"
16-49 years,3/2/21,"61,023"
16-49 years,3/3/21,"69,449"
16-49 years,3/4/21,"77,689"
16-49 years,3/5/21,"88,090"
16-49 years,3/6/21,"54,121"
16-49 years,3/7/21,"24,558"
16-49 years,3/8/21,"53,678"
16-49 years,3/9/21,"74,454"
16-49 years,3/10/21,"88,823"
16-49 years,3/11/21,"103,981"
16-49 years,3/12/21,"94,051"
16-49 years,3/13/21,"56,748"
16-49 years,3/14/21,"25,993"
16-49 years,3/15/21,"59,203"
16-49 years,3/16/21,"71,423"
16-49 years,3/17/21,"65,930"
16-49 years,3/18/21,"80,205"
16-49 years,3/19/21,"86,221"
16-49 years,3/20/21,"53,318"
16-49 years,3/21/21,"27,240"
16-49 years,3/22/21,"61,368"
16-49 years,3/23/21,"74,222"
16-49 years,3/24/21,"101,675"
16-49 years,3/25/21,"112,362"
16-49 years,3/26/21,"118,873"
16-49 years,3/27/21,"66,962"
16-49 years,3/28/21,"45,513"
16-49 years,3/29/21,"20,499"
50-64 years,12/14/20,144
50-64 years,12/15/20,"1,503"
50-64 years,12/16/20,"4,983"
50-64 years,12/17/20,"6,682"
50-64 years,12/18/20,"10,935"
50-64 years,12/19/20,"4,726"
50-64 years,12/20/20,"2,549"
50-64 years,12/21/20,"7,938"
50-64 years,12/22/20,"7,455"
50-64 years,12/23/20,"10,918"
50-64 years,12/24/20,"4,683"
50-64 years,12/25/20,671
50-64 years,12/26/20,"3,206"
50-64 years,12/27/20,"2,253"
50-64 years,12/28/20,"13,065"
50-64 years,12/29/20,"17,133"
50-64 years,12/30/20,"21,140"
50-64 years,12/31/20,"12,901"
50-64 years,1/1/21,"1,292"
50-64 years,1/2/21,"6,141"
50-64 years,1/3/21,"3,680"
50-64 years,1/4/21,"15,858"
50-64 years,1/5/21,"17,335"
50-64 years,1/6/21,"21,539"
50-64 years,1/7/21,"23,977"
50-64 years,1/8/21,"25,735"
50-64 years,1/9/21,"11,244"
50-64 years,1/10/21,"4,516"
50-64 years,1/11/21,"18,490"
50-64 years,1/12/21,"20,871"
50-64 years,1/13/21,"20,653"
50-64 years,1/14/21,"17,747"
50-64 years,1/15/21,"17,912"
50-64 years,1/16/21,"11,304"
50-64 years,1/17/21,"1,763"
50-64 years,1/18/21,"8,939"
50-64 years,1/19/21,"17,722"
50-64 years,1/20/21,"23,810"
50-64 years,1/21/21,"22,397"
50-64 years,1/22/21,"25,064"
50-64 years,1/23/21,"13,408"
50-64 years,1/24/21,"5,279"
50-64 years,1/25/21,"23,323"
50-64 years,1/26/21,"31,210"
50-64 years,1/27/21,"33,782"
50-64 years,1/28/21,"32,728"
50-64 years,1/29/21,"31,077"
50-64 years,1/30/21,"15,584"
50-64 years,1/31/21,"6,152"
50-64 years,2/1/21,"24,778"
50-64 years,2/2/21,"31,240"
50-64 years,2/3/21,"37,112"
50-64 years,2/4/21,"38,462"
50-64 years,2/5/21,"42,757"
50-64 years,2/6/21,"25,489"
50-64 years,2/7/21,"5,845"
50-64 years,2/8/21,"21,663"
50-64 years,2/9/21,"33,221"
50-64 years,2/10/21,"39,440"
50-64 years,2/11/21,"32,909"
50-64 years,2/12/21,"37,977"
50-64 years,2/13/21,"21,552"
50-64 years,2/14/21,"5,212"
50-64 years,2/15/21,"3,894"
50-64 years,2/16/21,"6,178"
50-64 years,2/17/21,"4,637"
50-64 years,2/18/21,"9,365"
50-64 years,2/19/21,"14,774"
50-64 years,2/20/21,"18,544"
50-64 years,2/21/21,"12,752"
50-64 years,2/22/21,"25,086"
50-64 years,2/23/21,"28,925"
50-64 years,2/24/21,"47,217"
50-64 years,2/25/21,"62,451"
50-64 years,2/26/21,"68,907"
50-64 years,2/27/21,"45,916"
50-64 years,2/28/21,"19,933"
50-64 years,3/1/21,"39,888"
50-64 years,3/2/21,"60,470"
50-64 years,3/3/21,"64,880"
50-64 years,3/4/21,"69,275"
50-64 years,3/5/21,"72,509"
50-64 years,3/6/21,"44,465"
50-64 years,3/7/21,"14,802"
50-64 years,3/8/21,"46,189"
50-64 years,3/9/21,"66,011"
50-64 years,3/10/21,"72,589"
50-64 years,3/11/21,"84,637"
50-64 years,3/12/21,"70,035"
50-64 years,3/13/21,"40,250"
50-64 years,3/14/21,"15,706"
50-64 years,3/15/21,"46,193"
50-64 years,3/16/21,"62,640"
50-64 years,3/17/21,"56,788"
50-64 years,3/18/21,"66,732"
50-64 years,3/19/21,"69,481"
50-64 years,3/20/21,"45,219"
50-64 years,3/21/21,"23,959"
50-64 years,3/22/21,"53,477"
50-64 years,3/23/21,"62,941"
50-64 years,3/24/21,"85,423"
50-64 years,3/25/21,"89,110"
50-64 years,3/26/21,"91,683"
50-64 years,3/27/21,"48,249"
50-64 years,3/28/21,"28,548"
50-64 years,3/29/21,"13,025"
65-79 years,12/14/20,26
65-79 years,12/15/20,310
65-79 years,12/16/20,959
65-79 years,12/17/20,"1,439"
65-79 years,12/18/20,"2,053"
65-79 years,12/19/20,"1,013"
65-79 years,12/20/20,505
65-79 years,12/21/20,"1,537"
65-79 years,12/22/20,"2,135"
65-79 years,12/23/20,"2,960"
65-79 years,12/24/20,"1,907"
65-79 years,12/25/20,328
65-79 years,12/26/20,"1,741"
65-79 years,12/27/20,"1,126"
65-79 years,12/28/20,"6,746"
65-79 years,12/29/20,"10,823"
65-79 years,12/30/20,"17,924"
65-79 years,12/31/20,"11,166"
65-79 years,1/1/21,"1,538"
65-79 years,1/2/21,"6,720"
65-79 years,1/3/21,"4,046"
65-79 years,1/4/21,"18,210"
65-79 years,1/5/21,"20,146"
65-79 years,1/6/21,"22,789"
65-79 years,1/7/21,"26,283"
65-79 years,1/8/21,"26,986"
65-79 years,1/9/21,"15,189"
65-79 years,1/10/21,"4,521"
